content_id,url,url_type,fuente,format,status,ok,title_extracted,title_csv,title_match,text_len,num_headings,classification,error
C060,https://clientebancario.bde.es/pcb/es/menu-horizontal/productosservici/relacionados/tiposinteres/guia-textual/tiposinteresrefe/tabla_tipos_referencia_oficiales_mercado_hipotecario.html,html,Portal Cliente Bancario BdE,artículo web,200,True,Tabla de los tipos de referencia oficiales del mercado hipotecario,Euríbor: qué es y cómo afecta a tu hipoteca,False,4040,0,ok,
C028,https://clientebancario.bde.es/pcb/es/menu-horizontal/actualidadeducac/educacion-financiera/protegete-contra-el-fraude/,html,Portal Cliente Bancario BdE,artículo web,200,True,Protégete contra el fraude,Protegerte contra el fraude,False,341,1,ok,
C053,https://clientebancario.bde.es/pcb/es/menu-horizontal/actualidadeducac/educacion-financiera/protegete-contra-el-fraude/,html,Portal Cliente Bancario BdE,artículo web,200,True,Protégete contra el fraude,Protección de datos en operaciones financieras,False,341,1,ok,
C054,https://clientebancario.bde.es/pcb/es/menu-horizontal/actualidadeducac/educacion-financiera/protegete-contra-el-fraude/,html,Portal Cliente Bancario BdE,artículo web,200,True,Protégete contra el fraude,Phishing: cómo identificar correos fraudulentos,False,341,1,ok,
C029,https://clientebancario.bde.es/pcb/es/blog/como-en-el-padel-la-calma-gana-el-punto.html,html,Portal Cliente Bancario BdE,artículo blog,200,True,Tómate un tiempo antes de hacer click,Blog del BdE: fraude o errores,False,1871,1,ok,
C030,https://clientebancario.bde.es/pcb/es/menu-horizontal/actualidadeducac/videos/la-detective-sara-gomez-investiga-el-fraude-por-internet.html,html,Portal Cliente Bancario BdE,vídeo educativo,200,True,La detective Sara Gómez investiga el fraude por internet,La detective Sara Gómez investiga el fraude por internet,True,1400,0,navigation_only,
C031,https://clientebancario.bde.es/pcb/es/menu-horizontal/podemosayudarte/simuladores/calculo_tae_prestamo_personal.html,html,Portal Cliente Bancario BdE,simulador,200,True,Cálculo de la TAE de un préstamo,Cálculo de la TAE de un préstamo personal,True,1944,1,ok,
C077,https://clientebancario.bde.es/pcb/es/menu-horizontal/podemosayudarte/simuladores/calculo_tae_prestamo_personal.html,html,Portal Cliente Bancario BdE,simulador,200,True,Cálculo de la TAE de un préstamo,Simulador de TAE de préstamos,False,1944,1,ok,
C032,https://clientebancario.bde.es/pcb/es/menu-horizontal/podemosayudarte/simuladores/calculo-de-la-tae-de-un-prestamo-hipotecario.html,html,Portal Cliente Bancario BdE,simulador,200,True,Cálculo de la TAE de un préstamo hipotecario,Cálculo de la TAE de un préstamo hipotecario,True,1797,1,ok,
C033,https://clientebancario.bde.es/pcb/es/menu-horizontal/podemosayudarte/simuladores/calculo_tipo_interes_efectivo.html,html,Portal Cliente Bancario BdE,simulador,200,True,Cálculo del tipo de interés efectivo,Tipo de interés efectivo de una operación,False,328,1,ok,
C034,https://clientebancario.bde.es/pcb/es/menu-horizontal/podemosayudarte/simuladores/calculo-del-coste-financiero.html,html,Portal Cliente Bancario BdE,simulador,200,True,Cálculo del coste financiero,Coste financiero de un préstamo,False,1714,1,ok,
C036,https://www.cnmv.es/TutorialesInversores/DecisionesInversion/02_CNMV_accesible/0301.htm,html,CNMV,artículo web,200,True,CNMV: Curso de decisiones de inversión,Conozca su perfil inversor,False,4396,1,ok,
C039,https://www.cnmv.es/portal/inversor/fondos-inversion?lang=es,html,CNMV,artículo web,200,True,CNMV - Fondos inversión,Fondos de inversión: qué son y cómo funcionan,False,2897,0,ok,
C041,https://www.cnmv.es/TutorialesInversores/DecisionesInversion/02_CNMV_accesible/020102.htm,html,CNMV,artículo web,200,True,CNMV: Curso de decisiones de inversión,Riesgo y diversificación,False,3193,0,ok,
C042,https://www.cnmv.es/portal/inversor/decalogo-chiringuitos?lang=es,html,CNMV,artículo web,200,True,CNMV - Decálogo para evitar chiringuitos financieros,Cómo detectar un chiringuito financiero,False,3545,0,ok,
C047,https://www.finanzasparatodos.es/gestionar-tus-finanzas-pon-en-practica-la-regla-50-30-20,html,Finanzas para Todos,artículo web,200,True,¿Gestionar tus finanzas? Pon en práctica la regla 50/30/20,Ahorro automático: la regla del 50/30/20,False,1912,1,ok,
C048,https://www.finanzasparatodos.es/fondo-de-emergencia-que-es-cuanto-necesitas-y-como-construirlo,html,Finanzas para Todos,artículo web,200,True,"Fondo de emergencia: qué es, cuánto necesitas y cómo construirlo",Fondo de emergencia: por qué y cómo crearlo,False,1534,1,ok,
C049,https://www.finanzasparatodos.es/interes-simple-e-interes-compuesto-sabes-que-es-cada-uno,html,Finanzas para Todos,artículo web,200,True,Interés simple e interés compuesto,Concepto de interés simple y compuesto,False,2154,1,ok,
C050,https://www.finanzasparatodos.es/aprende-a-leer-tu-nomina-devengos-deducciones-y-salario-neto,html,Finanzas para Todos,artículo web,200,True,"Aprende a leer tu nómina: devengos, deducciones y salario neto",Cómo leer una nómina,False,2828,2,ok,
C051,https://www.finanzasparatodos.es/conceptos-basicos-que-te-ayudaran-a-entender-tu-declaracion-de-la-renta,html,Portal Cliente Bancario BdE,artículo web,200,True,Conceptos básicos que te ayudarán a entender tu Declaración de la Renta,Declaración de la renta: conceptos básicos,False,3235,6,ok,
C052,https://www.finanzasparatodos.es/estos-son-los-principales-seguros-que-puedes-contratar,html,CNMV,artículo web,200,True,Estos son los principales seguros que puedes contratar,Seguros: tipos y coberturas principales,False,4347,1,ok,
C055,https://www.cnmv.es/docportal/publicaciones/fichas/finanzas_sostenibles.pdf,pdf,CNMV,PDF,200,True,Las Finanzas Sostenibles,Finanzas sostenibles: criterios ESG,False,5444,13,ok,
C056,https://www.cnmv.es/webservices/verdocumento/ver?t={0cd6d50d-00f1-42b4-9b5b-0a230e0e7e80},pdf,CNMV,PDF,200,True,"Los criptoactivos pueden ser arriesgados y tu protección, si la hay,",Criptomonedas: riesgos y advertencias,False,18265,13,ok,
C061,https://www.cnmv.es/DocPortal/Publicaciones/Guias/ManualUniversitarios.pdf,pdf,CNMV,PDF,200,True,Manual para universitarios,Manual para universitarios,True,190742,11,ok,
C062,https://www.cnmv.es/DocPortal/Publicaciones/Guias/CompetenciasBasicasParaInversores.pdf,pdf,CNMV,PDF,200,True,Marco de competencias,Competencias básicas para inversores,False,17689,7,ok,
C078,https://www.cnmv.es/DocPortal/Publicaciones/Guias/CompetenciasBasicasParaInversores.pdf,pdf,CNMV,PDF,200,True,Marco de competencias,Cómo diversificar una cartera de inversión,False,17689,7,ok,
C083,https://www.cnmv.es/DocPortal/Publicaciones/Guias/CompetenciasBasicasParaInversores.pdf,pdf,CNMV,PDF,200,True,Marco de competencias,Volatilidad y riesgo de los activos,False,17689,7,ok,
C087,https://www.cnmv.es/DocPortal/Publicaciones/Guias/CompetenciasBasicasParaInversores.pdf,pdf,CNMV,PDF,200,True,Marco de competencias,Finanzas sostenibles y criterios ESG,False,17689,7,ok,
C063,https://www.cnmv.es/DocPortal/Publicaciones/Guias/50PreguntasYRespuestasSobreInversion.pdf,pdf,CNMV,PDF,200,True,50 preguntas y respuestas básicas sobre inversión,50 preguntas y respuestas básicas sobre inversión,True,34348,17,ok,
C064,https://www.cnmv.es/DocPortal/Publicaciones/Guias/EstafasYFraudes.pdf,pdf,CNMV,PDF,200,True,Estafas y fraudes,Estafas y fraudes financieros,True,24851,17,ok,
C065,https://www.cnmv.es/DocPortal/Publicaciones/Guias/ChiringuitosFinancieros.pdf,pdf,CNMV,PDF,200,True,Chiringuitos Financieros,Chiringuitos financieros,True,35008,29,ok,
C066,https://www.cnmv.es/DocPortal/Publicaciones/Guias/FinfluencersActuarConResponsabilidad.pdf,pdf,CNMV,PDF,200,True,Finfluencers: cómo actuar con responsabilidad,Finfluencers: cómo actuar con responsabilidad,True,18324,18,ok,
C067,https://www.cnmv.es/DocPortal/Publicaciones/Guias/QueDebesSaberDeLosFinfluencers.pdf,pdf,CNMV,PDF,200,True,Del like a la inversión: qué debes saber de los finfluencers,Del like a la inversión,True,21149,14,ok,
C068,https://www.cnmv.es/DocPortal/Publicaciones/Guias/PsicologiaEconomicaParaInversores.pdf,pdf,CNMV,PDF,200,True,Psicología económica para inversores,Psicología económica para inversores,True,43273,33,ok,
C069,https://www.cnmv.es/DocPortal/Publicaciones/Guias/FondosDeInversionEInversionColectiva.pdf,pdf,CNMV,PDF,200,True,Los fondos de inversión y la inversión colectiva,Los fondos de inversión y la inversión colectiva,True,79917,30,ok,
C070,https://www.cnmv.es/DocPortal/Publicaciones/Guias/LosFondosCotizadosEnBolsa(ETF).pdf,pdf,CNMV,PDF,200,True,Los fondos de inversión y la inversión colectiva,Los fondos cotizados en bolsa (ETF),False,39239,18,ok,
C071,https://www.finanzasparatodos.es/herramientas/mipresupuesto,html,Finanzas para Todos,calculadora,200,True,Presupuestador - Finanzas para todos,Calculadora de presupuesto personal,False,1674,2,ok,
C072,https://www.finanzasparatodos.es/herramientas/mis-deudas,html,Finanzas para Todos,calculadora,200,True,Mis deudas - Finanzas para todos,Calculadora de gestión de deudas,False,519,0,ok,
C073,https://www.finanzasparatodos.es/herramientas/mis-ahorros,html,Finanzas para Todos,calculadora,200,True,Mis ahorros - Finanzas para todos,Calculadora de ahorro mensual,False,314,0,ok,
C074,https://www.finanzasparatodos.es/herramientas/calculadora-de-jubilacion,html,Finanzas para Todos,calculadora,200,True,Calculadora de jubilación - Finanzas para todos,Calculadora de jubilación,True,1112,0,ok,
C075,https://www.finanzasparatodos.es/herramientas/mi-valor-neto,html,Finanzas para Todos,calculadora,200,True,Mi valor neto -,Calculadora de patrimonio neto,False,553,2,ok,
C079,https://www.bbva.mx/educacion-financiera/ahorro/inversion/diferencias-entre-inflacion-y-deflacion-mexico.html,html,OECD,artículo web,200,True,Inflación y deflación en México: ¿Cómo afecta a tu bolsillo? | BBVA México,Inflación y poder adquisitivo,False,4322,3,ok,
C080,https://www.bbva.com/es/salud-financiera/guia-de-finanzas-para-no-financieros-interes-compuesto/,html,OECD,artículo web,200,True,Guía de finanzas para no financieros: interés compuesto,Interés compuesto: capitalización y crecimiento,False,3736,15,ok,
C081,https://www.finanzasparatodos.es/herramientas/mis-objetivos,html,Finanzas para Todos,herramienta,200,True,Mis objetivos - Finanzas para todos,Objetivos financieros personales,False,468,2,ok,
C084,https://www.finanzasparatodos.es/seguros,html,Finanzas para Todos,artículo web,200,True,Seguros -,Seguros: conceptos y coberturas,False,1337,1,ok,
C085,https://www.cnmv.es/DocPortal/Publicaciones/Guias/FiscalidadFondosDeInversionEnElIRPF.pdf,pdf,CNMV,PDF,200,True,Fiscalidad de los fondos de inversión en el IRPF (Enero/2026),Fiscalidad básica de los fondos de inversión,False,24452,21,ok,
C086,https://www.finanzasparatodos.es/cursos-y-webinars/criptoactivos-blockchain/tus-primeros-pasos-con-la-cadena-de-bloques-blockchain,html,OECD,curso web,200,True,Tus primeros pasos con la cadena de bloques (blockchain) - Curso Criptoactivos y Blockchain,Criptoactivos y blockchain: curso de Finanzas para Todos,False,6552,1,ok,
C088,https://clientebancario.bde.es/pcb/es/blog/que-es-la-inflacion--como-nos-afecta-.html,html,Portal Cliente Bancario BdE,artículo web,200,True,¿Qué es la inflación? ¿Cómo nos afecta?,Qué es la inflación y cómo nos afecta,False,3150,1,ok,
C089,https://clientebancario.bde.es/pcb/es/blog/como-afectan-a-mi-dinero-la-inflacion-y-la-subida-de-los-tipos-de-interes-.html,html,Portal Cliente Bancario BdE,artículo web,200,True,¿Cómo afectan a mi dinero la inflación y la subida de los tipos de interés?,Cómo afectan a mi dinero la inflación y los tipos de interés,False,1917,1,ok,
C090,https://mexico.unir.net/noticias/economia/planeacion-financiera/,html,UNIR,artículo web,200,True,Qué es la Planeación Financiera: Métodos y Tipos,Planeación financiera: qué es y cómo hacerla,False,6418,4,ok,
C091,https://www.bbva.com/es/salud-financiera/manual-para-organizar-las-finanzas-personales/,html,BBVA,artículo web,200,True,Planificación financiera personal: un manual para organizarlas,Manual para organizar las finanzas personales,False,7917,5,ok,
C092,https://clientebancario.bde.es/pcb/es/menu-horizontal/podemosayudarte/comisiones/que-son-las-comisiones-bancarias/,html,Portal Cliente Bancario BdE,artículo web,200,True,Qué son las comisiones bancarias,Qué son las comisiones bancarias,True,1678,1,ok,
C093,https://www.cnmv.es/TutorialesInversores/DecisionesInversion/02_CNMV_accesible/0401.htm,html,CNMV,artículo web,200,True,CNMV: Curso de decisiones de inversión,Volatilidad de las inversiones,False,8730,0,ok,
C094,https://www.santander.com.mx/educacion-financiera/blog/volatilidad-inversiones.html,html,Santander,artículo web,200,True,Qué es la volatilidad en las inversiones: por qué suben y bajan los activos,Volatilidad en las inversiones: qué es,False,2674,0,ok,
C095,https://www.bde.es/wbe/es/areas-actuacion/politica-monetaria/preguntas-frecuentes/tipos-cambio/que-son-los-tipos-de-cambio.html,html,Banco de España,artículo web,200,True,¿Qué son los tipos de cambio?,Qué son los tipos de cambio,True,689,1,ok,
C096,https://clientebancario.bde.es/pcb/es/blog/como-nos-afecta-el-tipo-de-cambio.html,html,Portal Cliente Bancario BdE,artículo web,200,True,Cómo nos afecta el tipo de cambio. Conoce nuestro conversor de divisas,Cómo nos afecta el tipo de cambio,True,2193,1,ok,
C097,https://clientebancario.bde.es/pcb/es/blog/cambio-de-divisas.html,html,Portal Cliente Bancario BdE,artículo web,200,True,Cambio de divisas: cómo comparar las distintas opciones para saber cuál te conviene,Cambio de divisas en operaciones bancarias,False,3104,1,ok,
C098,https://www.bde.es/webbe/es/estadisticas/recursos/glosario/conceptos/producto-interior-bruto.html,html,Banco de España,glosario web,200,True,Glosario de estadísticas. Producto interior bruto,Glosario BdE: Producto Interior Bruto,False,794,3,ok,
C099,https://www.santander.com/es/stories/que-es-el-pib-y-por-que-es-importante-en-la-economia,html,Santander,artículo web,200,True,¿Qué es el PIB?,Qué es el PIB y por qué es importante,False,4735,0,ok,
C100,https://www.cnmv.es/DocPortal/Publicaciones/Guias/LosProductosDeRentaFija.pdf,pdf,CNMV,PDF,200,True,Los Productos de Renta Fija,Los productos de renta fija,True,61238,16,ok,
C101,https://www.cnmv.es/DocPortal/Publicaciones/Guias/OpcionesYFuturos.pdf,pdf,CNMV,PDF,200,True,Opciones y Futuros,Opciones y futuros financieros,True,66703,28,ok,
C102,https://www.cnmv.es/DocPortal/Publicaciones/Guias/LaProteccionDeMiFID.pdf,pdf,CNMV,PDF,200,True,Sus derechos como inversor. MiFID,La protección del inversor (MiFID),False,36205,22,ok,
C103,https://www.cnmv.es/DocPortal/Publicaciones/Guias/AccionistaCotizada.pdf,pdf,CNMV,PDF,200,True,El accionista de una compañía cotizada,El accionista en la sociedad cotizada,False,40346,21,ok,
C104,https://www.cnmv.es/DocPortal/Publicaciones/Guias/G05_Ordenes_de_valores.pdf,pdf,CNMV,PDF,200,True,Transmitir una orden: el,Órdenes de valores,False,58541,14,ok,
C105,https://www.cnmv.es/DocPortal/Publicaciones/Guias/ComoInvertirEnBolsa.pdf,pdf,CNMV,PDF,200,True,¿Qué significa invertir en bolsa?,Cómo invertir en bolsa (guía CNMV),False,61091,20,ok,
C106,https://www.cnmv.es/DocPortal/Publicaciones/Guias/FiscalidadAccionesCotizadasEnElIRPF.pdf,pdf,CNMV,PDF,200,True,Fiscalidad de las acciones cotizadas en el IRPF (Enero/2026),Fiscalidad de acciones en el IRPF,False,24466,19,ok,
C107,https://www.cnmv.es/DocPortal/Publicaciones/Guias/PersuasionDigitalParaInversores.pdf,pdf,CNMV,PDF,200,True,Persuasión digital para inversores,Persuasión digital para inversores,True,80095,66,ok,
C109,https://www.finanzasparatodos.es/cursos-y-webinars/criptoactivos-blockchain/criptoactivos,html,Finanzas para Todos,curso web,200,True,Criptoactivos - Curso Criptoactivos y Blockchain,Criptoactivos: qué son y cómo funcionan,False,1165,1,ok,
C110,https://www.finanzasparatodos.es/cursos-y-webinars/criptoactivos-blockchain/la-validacion-en-la-cadena-de-bloques-blockchain,html,Finanzas para Todos,curso web,200,True,La validación en la cadena de bloques (blockchain) -,La validación en la cadena de bloques (blockchain),True,1786,2,ok,
C111,https://www.finanzasparatodos.es/cursos-y-webinars/criptoactivos-blockchain/tokens-y-smart-contracts/la-red-ethereum,html,Finanzas para Todos,curso web,200,True,La red Ethereum -,La red Ethereum: tokens y smart contracts,False,10342,1,ok,
C112,https://www.finanzasparatodos.es/cursos-y-webinars/criptoactivos-blockchain/las-finanzas-descentralizadas-defi,html,Finanzas para Todos,curso web,200,True,Las Finanzas Descentralizadas (DeFi) -,Las finanzas descentralizadas (DeFi),True,7357,1,ok,
C113,https://www.finanzasparatodos.es/cursos-y-webinars/criptoactivos-blockchain/web-3-0,html,Finanzas para Todos,curso web,200,True,Web 3.0 -,Web 3.0,True,11978,1,ok,
C114,https://www.finanzasparatodos.es/cursos-y-webinars/criptoactivos-blockchain/glosario,html,Finanzas para Todos,glosario web,200,True,Glosario - Curso Criptoactivos y Blockchain,Glosario criptoactivos y blockchain,False,10134,1,ok,
