user_id,age_group,education_level,employment_status,financial_knowledge_level,saving_habit,debt_experience,investment_experience,financial_behavior_level,financial_attitude_level,learning_goal,sex,risk,activity
U0032,25-34,universidad,empleado,,frecuente,ninguna,ninguna,alto,,ahorrar,hombre,0.30000000000000004,0.7749999999999999
U0033,25-34,universidad,empleado,,ocasional,ninguna,ninguna,medio,,planificar finanzas,mujer,0.30000000000000004,0.55
U0034,18-24,universidad,desempleado,alto,frecuente,ninguna,ninguna,alto,alto,ahorrar,mujer,0.4,0.775
U0035,25-34,secundaria,empleado,,frecuente,ninguna,ninguna,alto,,ahorrar,hombre,0.30000000000000004,0.7749999999999999
U0036,18-24,universidad,empleado,medio,frecuente,ninguna,ninguna,alto,medio,ahorrar,hombre,0.325,0.8749999999999999
U0037,25-34,bachillerato,desempleado,medio,frecuente,ninguna,ninguna,alto,medio,planificar finanzas,hombre,0.325,0.675
U0038,18-24,posgrado,empleado,,frecuente,ninguna,ninguna,alto,,presupuestar,hombre,0.30000000000000004,0.8749999999999999
U0039,18-24,bachillerato,estudiante,medio,ocasional,baja,ninguna,medio,medio,presupuestar,hombre,0.325,0.625
U0040,25-34,bachillerato,desempleado,,frecuente,ninguna,ninguna,alto,,presupuestar,mujer,0.30000000000000004,0.675
U0041,25-34,bachillerato,empleado,,frecuente,ninguna,básica,alto,,prepararse para invertir,hombre,0.725,0.7749999999999999
U0042,18-24,bachillerato,estudiante,alto,frecuente,ninguna,ninguna,alto,alto,presupuestar,hombre,0.4,0.85
U0043,25-34,bachillerato,desempleado,medio,frecuente,ninguna,ninguna,alto,medio,planificar finanzas,hombre,0.325,0.675
U0044,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,presupuestar,hombre,0.30000000000000004,0.7749999999999999
U0045,25-34,universidad,empleado,,frecuente,ninguna,ninguna,alto,,planificar finanzas,hombre,0.30000000000000004,0.7749999999999999
U0046,25-34,bachillerato,empleado,alto,frecuente,ninguna,básica,alto,alto,prepararse para invertir,hombre,0.825,0.7749999999999999
U0047,18-24,universidad,desempleado,medio,frecuente,ninguna,ninguna,alto,alto,ahorrar,mujer,0.4,0.775
U0048,25-34,bachillerato,desempleado,medio,frecuente,baja,ninguna,alto,medio,presupuestar,hombre,0.325,0.675
U0049,25-34,bachillerato,empleado,,frecuente,ninguna,básica,alto,,prepararse para invertir,hombre,0.725,0.7749999999999999
U0050,18-24,bachillerato,estudiante,alto,frecuente,ninguna,ninguna,alto,alto,planificar finanzas,hombre,0.4,0.85
U0051,25-34,universidad,empleado,,frecuente,ninguna,ninguna,alto,,ahorrar,hombre,0.30000000000000004,0.7749999999999999
U0052,18-24,secundaria,empleado,alto,frecuente,ninguna,ninguna,alto,alto,ahorrar,hombre,0.4,0.8749999999999999
U0053,25-34,primaria,empleado,,frecuente,ninguna,básica,alto,,prepararse para invertir,hombre,0.725,0.7749999999999999
U0054,18-24,posgrado,estudiante,medio,ocasional,ninguna,ninguna,medio,medio,ahorrar,hombre,0.325,0.625
U0055,18-24,universidad,estudiante,alto,ocasional,ninguna,ninguna,medio,alto,planificar finanzas,hombre,0.4,0.625
U0056,25-34,bachillerato,empleado,,frecuente,ninguna,básica,alto,,prepararse para invertir,hombre,0.725,0.7749999999999999
U0057,18-24,bachillerato,estudiante,alto,frecuente,ninguna,ninguna,alto,alto,presupuestar,hombre,0.4,0.85
U0058,25-34,universidad,empleado,,frecuente,ninguna,ninguna,alto,,planificar finanzas,hombre,0.30000000000000004,0.7749999999999999
U0059,25-34,universidad,empleado,,frecuente,ninguna,ninguna,alto,,planificar finanzas,hombre,0.30000000000000004,0.7749999999999999
U0060,18-24,bachillerato,empleado,alto,frecuente,ninguna,ninguna,alto,alto,ahorrar,hombre,0.4,0.8749999999999999
U0061,18-24,secundaria,empleado,medio,frecuente,ninguna,ninguna,alto,medio,presupuestar,hombre,0.325,0.8749999999999999
U0062,18-24,bachillerato,estudiante,medio,frecuente,ninguna,ninguna,alto,medio,ahorrar,mujer,0.325,0.85
U0063,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,presupuestar,hombre,0.30000000000000004,0.7749999999999999
U0064,18-24,universidad,empleado,,frecuente,ninguna,ninguna,alto,,presupuestar,hombre,0.30000000000000004,0.8749999999999999
U0065,25-34,universidad,empleado,,frecuente,ninguna,ninguna,alto,,presupuestar,hombre,0.30000000000000004,0.7749999999999999
U0066,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,ahorrar,hombre,0.30000000000000004,0.7749999999999999
U0067,25-34,bachillerato,desempleado,,frecuente,ninguna,ninguna,alto,,planificar finanzas,mujer,0.30000000000000004,0.675
U0068,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,planificar finanzas,hombre,0.30000000000000004,0.7749999999999999
U0069,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,planificar finanzas,mujer,0.30000000000000004,0.7749999999999999
U0070,25-34,primaria,empleado,,frecuente,ninguna,ninguna,alto,,ahorrar,hombre,0.30000000000000004,0.7749999999999999
U0071,25-34,bachillerato,empleado,bajo,frecuente,media,ninguna,alto,bajo,entender deuda,hombre,0.25,0.7749999999999999
U0072,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,ahorrar,hombre,0.30000000000000004,0.7749999999999999
U0073,18-24,universidad,empleado,medio,frecuente,baja,ninguna,alto,medio,ahorrar,hombre,0.325,0.8749999999999999
U0074,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,planificar finanzas,hombre,0.30000000000000004,0.7749999999999999
U0075,25-34,bachillerato,empleado,medio,frecuente,ninguna,ninguna,alto,medio,presupuestar,hombre,0.325,0.7749999999999999
U0076,25-34,bachillerato,empleado,medio,frecuente,baja,ninguna,alto,medio,planificar finanzas,hombre,0.325,0.7749999999999999
U0077,18-24,bachillerato,estudiante,medio,frecuente,baja,ninguna,alto,medio,ahorrar,hombre,0.325,0.85
U0078,18-24,bachillerato,desempleado,medio,ocasional,ninguna,ninguna,medio,alto,ahorrar,hombre,0.4,0.55
U0079,25-34,universidad,empleado,,frecuente,ninguna,ninguna,alto,,planificar finanzas,hombre,0.30000000000000004,0.7749999999999999
U0080,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,ahorrar,hombre,0.30000000000000004,0.7749999999999999
U0081,25-34,bachillerato,estudiante,alto,frecuente,ninguna,ninguna,alto,alto,planificar finanzas,hombre,0.4,0.75
U0082,18-24,universidad,estudiante,,frecuente,ninguna,ninguna,alto,,planificar finanzas,hombre,0.30000000000000004,0.85
U0083,18-24,universidad,estudiante,alto,frecuente,ninguna,ninguna,alto,alto,ahorrar,hombre,0.4,0.85
U0084,18-24,bachillerato,estudiante,medio,frecuente,baja,ninguna,alto,medio,presupuestar,hombre,0.325,0.85
U0085,18-24,universidad,estudiante,medio,frecuente,ninguna,ninguna,alto,medio,ahorrar,hombre,0.325,0.85
U0086,25-34,universidad,empleado,,frecuente,ninguna,ninguna,alto,,planificar finanzas,hombre,0.30000000000000004,0.7749999999999999
U0087,25-34,universidad,empleado,,frecuente,ninguna,básica,alto,,prepararse para invertir,hombre,0.725,0.7749999999999999
U0088,18-24,bachillerato,estudiante,medio,frecuente,ninguna,ninguna,alto,medio,presupuestar,mujer,0.325,0.85
U0089,18-24,bachillerato,estudiante,,frecuente,ninguna,ninguna,alto,,ahorrar,hombre,0.30000000000000004,0.85
U0090,25-34,secundaria,empleado,medio,frecuente,baja,ninguna,alto,alto,ahorrar,hombre,0.4,0.7749999999999999
U0091,18-24,secundaria,estudiante,,frecuente,ninguna,ninguna,alto,,planificar finanzas,hombre,0.30000000000000004,0.85
U0092,18-24,bachillerato,estudiante,medio,frecuente,baja,ninguna,alto,medio,presupuestar,hombre,0.325,0.85
U0093,18-24,bachillerato,desempleado,medio,ocasional,baja,ninguna,medio,medio,planificar finanzas,mujer,0.325,0.55
U0094,25-34,bachillerato,empleado,alto,frecuente,ninguna,ninguna,alto,alto,planificar finanzas,hombre,0.4,0.7749999999999999
U0095,25-34,universidad,desempleado,medio,frecuente,ninguna,ninguna,alto,alto,presupuestar,hombre,0.4,0.675
U0096,25-34,posgrado,empleado,medio,frecuente,ninguna,ninguna,alto,alto,presupuestar,hombre,0.4,0.7749999999999999
U0097,18-24,secundaria,estudiante,alto,frecuente,ninguna,ninguna,alto,alto,planificar finanzas,hombre,0.4,0.85
U0098,18-24,universidad,estudiante,alto,frecuente,ninguna,ninguna,alto,alto,presupuestar,hombre,0.4,0.85
U0099,18-24,posgrado,desempleado,bajo,frecuente,media,ninguna,alto,medio,entender deuda,hombre,0.325,0.775
U0100,25-34,primaria,empleado,,frecuente,ninguna,ninguna,alto,,planificar finanzas,hombre,0.30000000000000004,0.7749999999999999
U0101,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,ahorrar,hombre,0.30000000000000004,0.7749999999999999
U0102,18-24,universidad,empleado,,frecuente,ninguna,ninguna,alto,,presupuestar,hombre,0.30000000000000004,0.8749999999999999
U0103,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,planificar finanzas,hombre,0.30000000000000004,0.7749999999999999
U0104,25-34,universidad,empleado,,frecuente,ninguna,básica,alto,,prepararse para invertir,hombre,0.725,0.7749999999999999
U0105,25-34,universidad,desempleado,,frecuente,ninguna,ninguna,alto,,ahorrar,hombre,0.30000000000000004,0.675
U0106,25-34,universidad,empleado,medio,frecuente,ninguna,ninguna,alto,medio,ahorrar,hombre,0.325,0.7749999999999999
U0107,25-34,universidad,estudiante,alto,frecuente,ninguna,ninguna,alto,alto,ahorrar,hombre,0.4,0.75
U0108,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,ahorrar,hombre,0.30000000000000004,0.7749999999999999
U0109,25-34,universidad,desempleado,medio,ocasional,ninguna,ninguna,medio,medio,presupuestar,hombre,0.325,0.45
U0110,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,ahorrar,hombre,0.30000000000000004,0.7749999999999999
U0111,25-34,bachillerato,desempleado,alto,frecuente,ninguna,ninguna,alto,alto,planificar finanzas,mujer,0.4,0.675
U0112,25-34,universidad,empleado,,frecuente,ninguna,ninguna,alto,,presupuestar,hombre,0.30000000000000004,0.7749999999999999
U0113,18-24,posgrado,estudiante,medio,frecuente,ninguna,ninguna,alto,medio,ahorrar,hombre,0.325,0.85
U0114,18-24,secundaria,estudiante,medio,ocasional,ninguna,ninguna,medio,alto,ahorrar,hombre,0.4,0.625
U0115,18-24,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,planificar finanzas,hombre,0.30000000000000004,0.8749999999999999
U0116,25-34,bachillerato,empleado,,ocasional,ninguna,ninguna,medio,,presupuestar,hombre,0.30000000000000004,0.55
U0117,25-34,universidad,desempleado,,frecuente,ninguna,ninguna,alto,,planificar finanzas,mujer,0.30000000000000004,0.675
U0118,25-34,universidad,estudiante,,frecuente,ninguna,ninguna,alto,,ahorrar,hombre,0.30000000000000004,0.75
U0119,18-24,universidad,estudiante,alto,frecuente,ninguna,ninguna,alto,alto,presupuestar,hombre,0.4,0.85
U0120,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,presupuestar,hombre,0.30000000000000004,0.7749999999999999
U0121,25-34,universidad,empleado,,frecuente,ninguna,ninguna,alto,,presupuestar,hombre,0.30000000000000004,0.7749999999999999
U0122,25-34,bachillerato,desempleado,,frecuente,ninguna,ninguna,alto,,ahorrar,hombre,0.30000000000000004,0.675
U0123,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,ahorrar,hombre,0.30000000000000004,0.7749999999999999
U0124,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,planificar finanzas,mujer,0.30000000000000004,0.7749999999999999
U0125,18-24,bachillerato,estudiante,,frecuente,ninguna,ninguna,alto,,ahorrar,hombre,0.30000000000000004,0.85
U0126,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,presupuestar,hombre,0.30000000000000004,0.7749999999999999
U0127,25-34,bachillerato,estudiante,,frecuente,ninguna,ninguna,alto,,ahorrar,hombre,0.30000000000000004,0.75
U0128,18-24,bachillerato,empleado,,frecuente,ninguna,básica,alto,,prepararse para invertir,hombre,0.725,0.8749999999999999
U0129,25-34,universidad,empleado,,frecuente,ninguna,ninguna,alto,,planificar finanzas,hombre,0.30000000000000004,0.7749999999999999
U0130,18-24,bachillerato,estudiante,medio,ocasional,baja,ninguna,medio,medio,presupuestar,hombre,0.325,0.625
U0131,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,presupuestar,mujer,0.30000000000000004,0.7749999999999999
U0132,18-24,bachillerato,desempleado,,frecuente,ninguna,ninguna,alto,,presupuestar,hombre,0.30000000000000004,0.775
U0133,25-34,universidad,empleado,,frecuente,ninguna,ninguna,alto,,planificar finanzas,hombre,0.30000000000000004,0.7749999999999999
U0134,18-24,secundaria,empleado,medio,frecuente,ninguna,ninguna,alto,medio,ahorrar,hombre,0.325,0.8749999999999999
U0135,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,ahorrar,mujer,0.30000000000000004,0.7749999999999999
U0136,25-34,universidad,desempleado,,ocasional,ninguna,ninguna,medio,,planificar finanzas,hombre,0.30000000000000004,0.45
U0137,18-24,bachillerato,estudiante,medio,frecuente,baja,ninguna,alto,medio,planificar finanzas,hombre,0.325,0.85
U0138,25-34,universidad,empleado,medio,ocasional,ninguna,básica,medio,alto,prepararse para invertir,hombre,0.825,0.55
U0139,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,ahorrar,hombre,0.30000000000000004,0.7749999999999999
U0140,18-24,universidad,estudiante,bajo,ocasional,media,ninguna,medio,bajo,entender deuda,mujer,0.25,0.625
U0141,18-24,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,planificar finanzas,mujer,0.30000000000000004,0.8749999999999999
U0142,25-34,posgrado,empleado,,frecuente,ninguna,ninguna,alto,,presupuestar,hombre,0.30000000000000004,0.7749999999999999
U0143,25-34,bachillerato,empleado,bajo,frecuente,media,ninguna,alto,bajo,entender deuda,hombre,0.25,0.7749999999999999
U0144,25-34,bachillerato,empleado,medio,frecuente,ninguna,básica,alto,medio,prepararse para invertir,hombre,0.75,0.7749999999999999
U0145,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,presupuestar,hombre,0.30000000000000004,0.7749999999999999
U0146,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,presupuestar,hombre,0.30000000000000004,0.7749999999999999
U0147,18-24,secundaria,desempleado,medio,ocasional,baja,ninguna,medio,medio,presupuestar,hombre,0.325,0.55
U0148,25-34,secundaria,empleado,,frecuente,ninguna,ninguna,alto,,ahorrar,hombre,0.30000000000000004,0.7749999999999999
U0149,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,planificar finanzas,hombre,0.30000000000000004,0.7749999999999999
U0150,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,presupuestar,mujer,0.30000000000000004,0.7749999999999999
U0151,18-24,bachillerato,estudiante,alto,frecuente,ninguna,ninguna,alto,alto,presupuestar,mujer,0.4,0.85
U0152,18-24,universidad,desempleado,medio,ocasional,baja,ninguna,medio,medio,ahorrar,hombre,0.325,0.55
U0153,25-34,bachillerato,empleado,,frecuente,ninguna,básica,alto,,prepararse para invertir,hombre,0.725,0.7749999999999999
U0154,18-24,bachillerato,estudiante,medio,frecuente,baja,ninguna,alto,medio,planificar finanzas,mujer,0.325,0.85
U0155,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,ahorrar,hombre,0.30000000000000004,0.7749999999999999
U0156,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,ahorrar,hombre,0.30000000000000004,0.7749999999999999
U0157,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,presupuestar,hombre,0.30000000000000004,0.7749999999999999
U0158,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,presupuestar,hombre,0.30000000000000004,0.7749999999999999
U0159,18-24,universidad,estudiante,medio,frecuente,baja,ninguna,alto,medio,planificar finanzas,hombre,0.325,0.85
U0160,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,planificar finanzas,hombre,0.30000000000000004,0.7749999999999999
U0161,18-24,posgrado,estudiante,alto,frecuente,ninguna,ninguna,alto,alto,presupuestar,hombre,0.4,0.85
U0162,25-34,bachillerato,empleado,alto,ocasional,ninguna,ninguna,medio,alto,planificar finanzas,hombre,0.4,0.55
U0163,18-24,universidad,empleado,,frecuente,ninguna,básica,alto,,prepararse para invertir,hombre,0.725,0.8749999999999999
U0164,18-24,universidad,estudiante,alto,ocasional,ninguna,ninguna,medio,alto,ahorrar,hombre,0.4,0.625
U0165,18-24,secundaria,estudiante,alto,frecuente,ninguna,ninguna,alto,alto,planificar finanzas,hombre,0.4,0.85
U0166,25-34,posgrado,empleado,,frecuente,ninguna,ninguna,alto,,ahorrar,hombre,0.30000000000000004,0.7749999999999999
U0167,25-34,universidad,empleado,alto,frecuente,ninguna,ninguna,alto,alto,ahorrar,hombre,0.4,0.7749999999999999
U0168,25-34,universidad,empleado,,frecuente,ninguna,ninguna,alto,,ahorrar,hombre,0.30000000000000004,0.7749999999999999
U0169,18-24,bachillerato,estudiante,alto,frecuente,ninguna,ninguna,alto,alto,ahorrar,hombre,0.4,0.85
U0170,25-34,secundaria,empleado,,frecuente,ninguna,ninguna,alto,,presupuestar,hombre,0.30000000000000004,0.7749999999999999
U0171,18-24,universidad,empleado,medio,ocasional,baja,ninguna,medio,medio,presupuestar,hombre,0.325,0.65
U0172,18-24,secundaria,estudiante,medio,frecuente,baja,ninguna,alto,medio,ahorrar,hombre,0.325,0.85
U0173,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,planificar finanzas,hombre,0.30000000000000004,0.7749999999999999
U0174,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,presupuestar,hombre,0.30000000000000004,0.7749999999999999
U0175,25-34,bachillerato,estudiante,,frecuente,ninguna,ninguna,alto,,ahorrar,mujer,0.30000000000000004,0.75
U0176,18-24,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,planificar finanzas,mujer,0.30000000000000004,0.8749999999999999
U0177,25-34,bachillerato,empleado,,ocasional,ninguna,ninguna,medio,,presupuestar,mujer,0.30000000000000004,0.55
U0178,18-24,bachillerato,estudiante,,frecuente,ninguna,ninguna,alto,,ahorrar,hombre,0.30000000000000004,0.85
U0179,18-24,posgrado,estudiante,bajo,frecuente,baja,ninguna,alto,bajo,ahorrar,hombre,0.25,0.85
U0180,18-24,universidad,estudiante,medio,frecuente,ninguna,ninguna,alto,medio,planificar finanzas,hombre,0.325,0.85
U0181,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,presupuestar,hombre,0.30000000000000004,0.7749999999999999
U0182,18-24,universidad,empleado,,ocasional,ninguna,ninguna,medio,,ahorrar,hombre,0.30000000000000004,0.65
U0183,25-34,universidad,desempleado,,frecuente,ninguna,ninguna,alto,,planificar finanzas,hombre,0.30000000000000004,0.675
U0184,18-24,universidad,estudiante,alto,frecuente,ninguna,ninguna,alto,alto,planificar finanzas,hombre,0.4,0.85
U0185,18-24,bachillerato,empleado,medio,frecuente,ninguna,ninguna,alto,medio,ahorrar,mujer,0.325,0.8749999999999999
U0186,25-34,bachillerato,desempleado,alto,frecuente,ninguna,ninguna,alto,alto,ahorrar,mujer,0.4,0.675
U0187,18-24,universidad,estudiante,medio,frecuente,ninguna,ninguna,alto,medio,ahorrar,hombre,0.325,0.85
U0188,25-34,bachillerato,empleado,alto,frecuente,ninguna,básica,alto,alto,prepararse para invertir,hombre,0.825,0.7749999999999999
U0189,25-34,bachillerato,desempleado,,frecuente,ninguna,ninguna,alto,,planificar finanzas,hombre,0.30000000000000004,0.675
U0190,18-24,universidad,estudiante,bajo,frecuente,baja,ninguna,alto,bajo,ahorrar,hombre,0.25,0.85
U0191,18-24,posgrado,empleado,alto,frecuente,ninguna,ninguna,alto,alto,presupuestar,hombre,0.4,0.8749999999999999
U0192,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,planificar finanzas,hombre,0.30000000000000004,0.7749999999999999
U0193,25-34,universidad,empleado,,ocasional,ninguna,ninguna,medio,,ahorrar,hombre,0.30000000000000004,0.55
U0194,18-24,posgrado,desempleado,medio,frecuente,ninguna,ninguna,alto,medio,ahorrar,hombre,0.325,0.775
U0195,18-24,bachillerato,estudiante,alto,frecuente,ninguna,ninguna,alto,alto,presupuestar,hombre,0.4,0.85
U0196,18-24,bachillerato,desempleado,alto,frecuente,ninguna,ninguna,alto,alto,ahorrar,mujer,0.4,0.775
U0197,25-34,universidad,empleado,,frecuente,ninguna,básica,alto,,prepararse para invertir,hombre,0.725,0.7749999999999999
U0198,18-24,secundaria,empleado,medio,frecuente,baja,ninguna,alto,medio,ahorrar,mujer,0.325,0.8749999999999999
U0199,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,ahorrar,hombre,0.30000000000000004,0.7749999999999999
U0200,18-24,bachillerato,estudiante,alto,frecuente,ninguna,ninguna,alto,alto,presupuestar,hombre,0.4,0.85
U0201,25-34,universidad,empleado,alto,frecuente,ninguna,ninguna,alto,alto,ahorrar,hombre,0.4,0.7749999999999999
U0202,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,planificar finanzas,hombre,0.30000000000000004,0.7749999999999999
U0203,25-34,bachillerato,desempleado,medio,frecuente,ninguna,ninguna,alto,alto,presupuestar,hombre,0.4,0.675
U0204,25-34,secundaria,empleado,medio,frecuente,ninguna,ninguna,alto,medio,planificar finanzas,hombre,0.325,0.7749999999999999
U0205,25-34,secundaria,empleado,,frecuente,ninguna,ninguna,alto,,ahorrar,hombre,0.30000000000000004,0.7749999999999999
U0206,25-34,universidad,desempleado,,frecuente,ninguna,ninguna,alto,,planificar finanzas,mujer,0.30000000000000004,0.675
U0207,18-24,bachillerato,empleado,medio,frecuente,baja,básica,alto,alto,prepararse para invertir,hombre,0.825,0.8749999999999999
U0208,25-34,secundaria,empleado,,frecuente,ninguna,ninguna,alto,,planificar finanzas,mujer,0.30000000000000004,0.7749999999999999
U0209,25-34,bachillerato,estudiante,alto,frecuente,ninguna,ninguna,alto,alto,ahorrar,hombre,0.4,0.75
U0210,25-34,posgrado,empleado,medio,frecuente,ninguna,ninguna,alto,medio,planificar finanzas,mujer,0.325,0.7749999999999999
U0211,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,planificar finanzas,hombre,0.30000000000000004,0.7749999999999999
U0212,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,ahorrar,mujer,0.30000000000000004,0.7749999999999999
U0213,25-34,posgrado,estudiante,medio,frecuente,baja,ninguna,alto,medio,ahorrar,hombre,0.325,0.75
U0214,18-24,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,ahorrar,hombre,0.30000000000000004,0.8749999999999999
U0215,25-34,bachillerato,empleado,,frecuente,ninguna,ninguna,alto,,planificar finanzas,mujer,0.30000000000000004,0.7749999999999999
U0216,25-34,universidad,empleado,medio,frecuente,ninguna,ninguna,alto,alto,planificar finanzas,hombre,0.4,0.7749999999999999
U0217,18-24,posgrado,estudiante,,frecuente,ninguna,ninguna,alto,,planificar finanzas,hombre,0.30000000000000004,0.85
U0218,18-24,universidad,estudiante,medio,frecuente,baja,básica,alto,medio,prepararse para invertir,hombre,0.75,0.85
U0219,18-24,universidad,empleado,medio,ocasional,baja,ninguna,medio,medio,ahorrar,hombre,0.325,0.65
U0220,18-24,bachillerato,estudiante,alto,frecuente,ninguna,ninguna,alto,alto,planificar finanzas,hombre,0.4,0.85
