interaction_id,user_id,content_id,topic,affinity,completion,relevant,event,score,timestamp
I00086,U0007,C966,interes,0.8,0,0,viewed,0.0617,2025-08-14:00:00
I00087,U0007,C735,fraude,0.7,1,1,completed,0.8464,2025-09-16:00:00
I00088,U0007,C886,planificacion,0.8,1,1,quiz_passed,0.8598,2025-10-18:00:00
I00089,U0007,C216,fraude,0.7,1,1,quiz_passed,0.7038,2025-11-20:00:00
I00090,U0007,C740,deuda,0.1,1,0,quiz_passed,0.2033,2025-12-22:00:00
I00091,U0007,C737,hipotecas,0.7,1,1,quiz_passed,0.7375,2025-13-00:00:00
I00092,U0008,C996,inflacion,0.3,1,0,quiz_passed,0.4402,2025-01-00:00:00
I00093,U0008,C889,fraude,0.7,0,0,viewed,0.0832,2025-02-02:00:00
I00094,U0008,C534,inversion,0.45,0,0,viewed,0.0849,2025-03-04:00:00
I00095,U0008,C168,cuentas bancarias,1.0,1,1,quiz_passed,1.0,2025-04-06:00:00
I00096,U0008,C552,hipotecas,0.7,1,1,quiz_passed,0.8469,2025-05-08:00:00
I00097,U0008,C650,ahorro,1.0,1,1,quiz_passed,1.0,2025-06-10:00:00
I00098,U0008,C861,deuda,0.1,1,0,quiz_passed,0.1975,2025-07-12:00:00
I00099,U0008,C322,ahorro,1.0,1,1,completed,1.0,2025-08-14:00:00
I00100,U0008,C424,fraude,0.7,1,1,completed,0.7752,2025-09-16:00:00
I00101,U0008,C357,cuentas bancarias,1.0,1,1,completed,1.0,2025-10-18:00:00
I00102,U0008,C763,hipotecas,0.7,1,1,quiz_passed,0.841,2025-11-20:00:00
I00103,U0008,C790,planificacion,0.8,1,1,quiz_passed,0.8193,2025-12-22:00:00
I00104,U0008,C267,ahorro,1.0,0,0,viewed,0.1231,2025-13-00:00:00
I00105,U0009,C706,fraude,0.7,0,0,viewed,0.0104,2025-01-00:00:00
I00106,U0009,C826,hipotecas,0.7,1,1,quiz_passed,0.7927,2025-02-02:00:00
I00107,U0009,C701,interes,0.8,1,1,quiz_passed,0.9267,2025-03-04:00:00
I00108,U0009,C925,cuentas bancarias,1.0,1,1,quiz_passed,1.0,2025-04-06:00:00
I00109,U0009,C519,interes,0.8,1,1,completed,0.9316,2025-05-08:00:00
I00110,U0009,C968,fraude,0.7,1,1,completed,0.7822,2025-06-10:00:00
I00111,U0009,C647,fraude,0.7,0,0,viewed,0.1486,2025-07-12:00:00
I00112,U0009,C289,fraude,0.7,1,1,completed,0.7511,2025-08-14:00:00
I00113,U0009,C378,ahorro,1.0,1,1,quiz_passed,1.0,2025-09-16:00:00
I00114,U0009,C161,interes,0.8,0,0,viewed,0.1354,2025-10-18:00:00
I00115,U0009,C118,fraude,0.7,1,1,quiz_passed,0.7446,2025-11-20:00:00
I00116,U0009,C175,cuentas bancarias,1.0,1,1,quiz_passed,1.0,2025-12-22:00:00
I00117,U0010,C663,tarjetas,0.8,1,1,completed,0.9015,2025-01-00:00:00
I00118,U0010,C198,prestamos,1.0,1,1,completed,1.0,2025-02-02:00:00
I00119,U0010,C664,planificacion,0.8,1,1,quiz_passed,0.8319,2025-03-04:00:00
I00120,U0010,C141,inflacion,0.9,0,0,viewed,0.0137,2025-04-06:00:00
I00121,U0010,C262,interes,0.8,0,0,disliked,0.0084,2025-05-08:00:00
I00122,U0010,C687,fraude,0.7,0,0,viewed,0.0176,2025-06-10:00:00
I00123,U0010,C329,deuda,1.0,1,1,completed,1.0,2025-07-12:00:00
I00124,U0010,C894,prestamos,1.0,1,1,completed,1.0,2025-08-14:00:00
I00125,U0010,C438,interes,0.8,1,1,quiz_passed,0.8127,2025-09-16:00:00
I00126,U0010,C756,inflacion,0.9,1,1,completed,1.0,2025-10-18:00:00
I00127,U0010,C169,deuda,1.0,0,0,disliked,0.113,2025-11-20:00:00
I00128,U0010,C266,tarjetas,0.8,1,1,quiz_passed,0.8567,2025-12-22:00:00
I00129,U0011,C550,riesgo,0.1,1,0,completed,0.1167,2025-01-00:00:00
I00130,U0011,C759,deuda,0.1,1,0,quiz_passed,0.1857,2025-02-02:00:00
I00131,U0011,C100,hipotecas,0.7,1,1,quiz_passed,0.7974,2025-03-04:00:00
I00132,U0011,C607,ahorro,1.0,1,1,quiz_passed,1.0,2025-04-06:00:00
I00133,U0011,C233,cuentas bancarias,1.0,1,1,completed,1.0,2025-05-08:00:00
I00134,U0011,C914,interes,0.8,0,0,disliked,0.0834,2025-06-10:00:00
I00135,U0011,C328,inflacion,0.3,0,0,viewed,0.1489,2025-07-12:00:00
I00136,U0011,C146,planificacion,0.8,1,1,completed,0.8113,2025-08-14:00:00
I00137,U0011,C472,prestamos,0.1,0,0,viewed,0.0682,2025-09-16:00:00
I00138,U0011,C111,ahorro,1.0,1,1,quiz_passed,1.0,2025-10-18:00:00
I00139,U0011,C507,tarjetas,0.2,0,0,viewed,0.0592,2025-11-20:00:00
I00140,U0011,C189,cuentas bancarias,1.0,1,1,quiz_passed,1.0,2025-12-22:00:00
I00141,U0012,C968,planificacion,0.8,1,1,quiz_passed,0.8399,2025-01-00:00:00
I00142,U0012,C244,fraude,0.7,0,0,disliked,0.1047,2025-02-02:00:00
I00143,U0012,C851,interes,0.8,1,1,quiz_passed,0.8904,2025-03-04:00:00
I00144,U0012,C693,cuentas bancarias,1.0,1,1,completed,1.0,2025-04-06:00:00
I00145,U0012,C109,tarjetas,0.2,1,0,quiz_passed,0.3379,2025-05-08:00:00
I00146,U0012,C218,inversion,0.45,0,0,disliked,0.0068,2025-06-10:00:00
I00147,U0012,C338,inversion,0.45,1,0,completed,0.5221,2025-07-12:00:00
I00148,U0012,C953,planificacion,0.8,1,1,quiz_passed,0.8571,2025-08-14:00:00
I00149,U0012,C204,hipotecas,0.7,0,0,viewed,0.0095,2025-09-16:00:00
I00150,U0012,C617,interes,0.8,1,1,quiz_passed,0.8085,2025-10-18:00:00
I00151,U0012,C870,ahorro,1.0,1,1,quiz_passed,1.0,2025-11-20:00:00
I00152,U0012,C557,inversion,0.45,1,0,completed,0.5917,2025-12-22:00:00
I00153,U0013,C100,fraude,0.7,1,1,quiz_passed,0.7308,2025-01-00:00:00
I00154,U0013,C980,fraude,0.7,0,0,viewed,0.0343,2025-02-02:00:00
I00155,U0013,C650,hipotecas,0.7,0,0,viewed,0.0403,2025-03-04:00:00
I00156,U0013,C990,planificacion,0.8,1,1,quiz_passed,0.9158,2025-04-06:00:00
I00157,U0013,C833,hipotecas,0.7,1,1,completed,0.8452,2025-05-08:00:00
I00158,U0013,C306,interes,0.8,0,0,viewed,0.072,2025-06-10:00:00
I00159,U0013,C202,hipotecas,0.7,0,0,viewed,0.1208,2025-07-12:00:00
I00160,U0013,C197,tarjetas,0.2,1,0,quiz_passed,0.2526,2025-08-14:00:00
I00161,U0013,C407,tarjetas,0.2,0,0,viewed,0.0137,2025-09-16:00:00
I00162,U0013,C641,inversion,0.45,1,0,quiz_passed,0.5866,2025-10-18:00:00
I00163,U0013,C237,cuentas bancarias,1.0,1,1,completed,1.0,2025-11-20:00:00
I00164,U0013,C168,planificacion,0.8,0,0,viewed,0.0387,2025-12-22:00:00
I00165,U0014,C846,credito,0.1,0,0,viewed,0.0493,2025-01-00:00:00
I00166,U0014,C762,diversificacion,0.05,0,0,viewed,0.0806,2025-02-02:00:00
I00167,U0014,C619,ahorro,0.7,1,1,quiz_passed,0.7208,2025-03-04:00:00
I00168,U0014,C963,inflacion,0.3,1,0,completed,0.3617,2025-04-06:00:00
I00169,U0014,C733,hipotecas,0.1,1,0,completed,0.1258,2025-05-08:00:00
I00170,U0014,C781,deuda,0.1,1,0,completed,0.1518,2025-06-10:00:00
I00171,U0014,C332,hipotecas,0.1,1,0,quiz_passed,0.1181,2025-07-12:00:00
I00172,U0014,C829,planificacion,0.8,1,1,completed,0.8193,2025-08-14:00:00
I00173,U0014,C220,interes,0.4,0,0,viewed,0.1199,2025-09-16:00:00
I00174,U0014,C147,diversificacion,0.05,0,0,viewed,0.0235,2025-10-18:00:00
I00175,U0014,C724,interes,0.4,1,0,quiz_passed,0.5209,2025-11-20:00:00
I00176,U0014,C155,planificacion,0.8,1,1,completed,0.8805,2025-12-22:00:00
I00177,U0015,C315,planificacion,0.8,1,1,completed,0.8553,2025-01-00:00:00
I00178,U0015,C982,ahorro,1.0,1,1,quiz_passed,1.0,2025-02-02:00:00
I00179,U0015,C850,deuda,0.1,0,0,disliked,0.0768,2025-03-04:00:00
I00180,U0015,C982,prestamos,0.1,1,0,completed,0.1531,2025-04-06:00:00
I00181,U0015,C813,cuentas bancarias,1.0,1,1,quiz_passed,1.0,2025-05-08:00:00
I00182,U0015,C225,planificacion,0.8,1,1,completed,0.8134,2025-06-10:00:00
I00183,U0015,C679,ahorro,1.0,1,1,completed,1.0,2025-07-12:00:00
I00184,U0015,C327,riesgo,0.1,1,0,completed,0.1719,2025-08-14:00:00
I00185,U0015,C468,tarjetas,0.2,0,0,viewed,0.1118,2025-09-16:00:00
I00186,U0015,C791,riesgo,0.1,0,0,viewed,0.0506,2025-10-18:00:00
I00187,U0015,C976,planificacion,0.8,1,1,quiz_passed,0.8534,2025-11-20:00:00
I00188,U0015,C376,cuentas bancarias,1.0,1,1,completed,1.0,2025-12-22:00:00
I00189,U0016,C942,interes,0.8,1,1,quiz_passed,0.8241,2025-01-00:00:00
I00190,U0016,C236,cuentas bancarias,1.0,1,1,completed,1.0,2025-02-02:00:00
I00191,U0016,C647,ahorro,1.0,1,1,quiz_passed,1.0,2025-03-04:00:00
I00192,U0016,C174,hipotecas,0.7,0,0,disliked,0.0864,2025-04-06:00:00
I00193,U0016,C603,fraude,0.7,0,0,viewed,0.0387,2025-05-08:00:00
I00194,U0016,C814,hipotecas,0.7,0,0,viewed,0.1078,2025-06-10:00:00
I00195,U0016,C425,planificacion,0.8,1,1,quiz_passed,0.9154,2025-07-12:00:00
I00196,U0016,C631,hipotecas,0.7,0,0,viewed,0.0299,2025-08-14:00:00
I00197,U0016,C419,planificacion,0.8,1,1,quiz_passed,0.8916,2025-09-16:00:00
I00198,U0016,C944,inversion,0.45,1,0,quiz_passed,0.5898,2025-10-18:00:00
I00199,U0016,C109,cuentas bancarias,1.0,1,1,quiz_passed,1.0,2025-11-20:00:00
I00200,U0016,C267,planificacion,0.8,1,1,quiz_passed,0.8303,2025-12-22:00:00
I00201,U0017,C884,tarjetas,0.8,0,0,viewed,0.1022,2025-01-00:00:00
I00202,U0017,C518,planificacion,0.8,1,1,quiz_passed,0.8909,2025-02-02:00:00
I00203,U0017,C335,cuentas bancarias,1.0,1,1,completed,1.0,2025-03-04:00:00
I00204,U0017,C687,inflacion,0.9,1,1,completed,1.0,2025-04-06:00:00
I00205,U0017,C671,hipotecas,0.7,1,1,completed,0.8082,2025-05-08:00:00
I00206,U0017,C369,tarjetas,0.8,0,0,viewed,0.1193,2025-06-10:00:00
I00207,U0017,C950,ahorro,1.0,0,0,viewed,0.028,2025-07-12:00:00
I00208,U0017,C848,cuentas bancarias,1.0,1,1,quiz_passed,1.0,2025-08-14:00:00
I00209,U0017,C715,cuentas bancarias,1.0,1,1,completed,1.0,2025-09-16:00:00
I00210,U0017,C122,planificacion,0.8,1,1,quiz_passed,0.8452,2025-10-18:00:00
I00211,U0017,C602,inversion,0.45,1,0,quiz_passed,0.5033,2025-11-20:00:00
I00212,U0017,C138,prestamos,1.0,1,1,quiz_passed,1.0,2025-12-22:00:00
I00213,U0018,C653,prestamos,0.1,1,0,completed,0.1942,2025-01-00:00:00
I00214,U0018,C577,inversion,0.45,1,0,completed,0.543,2025-02-02:00:00
I00215,U0018,C196,credito,0.1,0,0,viewed,0.0228,2025-03-04:00:00
I00216,U0018,C295,cuentas bancarias,1.0,1,1,completed,1.0,2025-04-06:00:00
I00217,U0018,C964,ahorro,1.0,1,1,completed,1.0,2025-05-08:00:00
I00218,U0018,C976,fraude,0.7,1,1,quiz_passed,0.7568,2025-06-10:00:00
I00219,U0018,C360,interes,0.8,1,1,quiz_passed,0.9196,2025-07-12:00:00
I00220,U0018,C510,ahorro,1.0,1,1,quiz_passed,1.0,2025-08-14:00:00
I00221,U0018,C910,credito,0.1,0,0,viewed,0.0814,2025-09-16:00:00
I00222,U0018,C971,inflacion,0.3,0,0,viewed,0.1439,2025-10-18:00:00
I00223,U0018,C401,ahorro,1.0,1,1,quiz_passed,1.0,2025-11-20:00:00
I00224,U0018,C309,interes,0.8,1,1,completed,0.8209,2025-12-22:00:00
I00225,U0019,C559,interes,0.8,1,1,quiz_passed,0.9308,2025-01-00:00:00
I00226,U0019,C904,planificacion,0.8,1,1,completed,0.9185,2025-02-02:00:00
I00227,U0019,C477,tarjetas,0.2,0,0,viewed,0.0864,2025-03-04:00:00
I00228,U0019,C396,cuentas bancarias,1.0,1,1,quiz_passed,1.0,2025-04-06:00:00
I00229,U0019,C504,fraude,0.7,0,0,viewed,0.017,2025-05-08:00:00
I00230,U0019,C100,planificacion,0.8,1,1,quiz_passed,0.9256,2025-06-10:00:00
I00231,U0019,C760,ahorro,1.0,0,0,viewed,0.0887,2025-07-12:00:00
I00232,U0019,C412,planificacion,0.8,1,1,completed,0.8308,2025-08-14:00:00
I00233,U0019,C636,ahorro,1.0,1,1,quiz_passed,1.0,2025-09-16:00:00
I00234,U0019,C574,riesgo,0.1,0,0,disliked,0.0699,2025-10-18:00:00
I00235,U0019,C975,interes,0.8,0,0,viewed,0.0337,2025-11-20:00:00
I00236,U0019,C279,planificacion,0.8,0,0,viewed,0.0866,2025-12-22:00:00
I00237,U0020,C162,fraude,0.7,1,1,completed,0.7544,2025-01-00:00:00
I00238,U0020,C148,inflacion,0.3,1,0,quiz_passed,0.3319,2025-02-02:00:00
I00239,U0020,C729,cuentas bancarias,1.0,1,1,completed,1.0,2025-03-04:00:00
I00240,U0020,C426,hipotecas,0.7,0,0,viewed,0.0277,2025-04-06:00:00
I00241,U0020,C990,planificacion,0.8,1,1,quiz_passed,0.9125,2025-05-08:00:00
I00242,U0020,C404,cuentas bancarias,1.0,0,0,viewed,0.0702,2025-06-10:00:00
I00243,U0020,C117,inflacion,0.3,1,0,quiz_passed,0.3847,2025-07-12:00:00
I00244,U0020,C601,fraude,0.7,1,1,completed,0.7791,2025-08-14:00:00
I00245,U0020,C930,planificacion,0.8,1,1,quiz_passed,0.8839,2025-09-16:00:00
I00246,U0020,C742,tarjetas,0.2,1,0,quiz_passed,0.2113,2025-10-18:00:00
I00247,U0020,C479,inflacion,0.3,1,0,quiz_passed,0.3966,2025-11-20:00:00
I00248,U0020,C490,fraude,0.7,0,0,disliked,0.126,2025-12-22:00:00
I00249,U0021,C542,inversion,0.45,0,0,viewed,0.0333,2025-01-00:00:00
I00250,U0021,C328,inversion,0.45,1,0,quiz_passed,0.5009,2025-02-02:00:00
I00251,U0021,C517,ahorro,1.0,1,1,completed,1.0,2025-03-04:00:00
I00252,U0021,C913,tarjetas,0.2,0,0,disliked,0.0905,2025-04-06:00:00
I00253,U0021,C568,hipotecas,0.7,0,0,viewed,0.1002,2025-05-08:00:00
I00254,U0021,C429,credito,0.1,1,0,quiz_passed,0.113,2025-06-10:00:00
I00255,U0021,C480,ahorro,1.0,1,1,quiz_passed,1.0,2025-07-12:00:00
I00256,U0021,C996,inflacion,0.3,0,0,viewed,0.1056,2025-08-14:00:00
I00257,U0021,C485,hipotecas,0.7,0,0,viewed,0.0389,2025-09-16:00:00
I00258,U0021,C904,interes,0.8,1,1,quiz_passed,0.9246,2025-10-18:00:00
I00259,U0021,C966,planificacion,0.8,1,1,quiz_passed,0.8654,2025-11-20:00:00
I00260,U0021,C813,ahorro,1.0,0,0,viewed,0.021,2025-12-22:00:00
I00261,U0022,C835,cuentas bancarias,1.0,1,1,completed,1.0,2025-01-00:00:00
I00262,U0022,C651,planificacion,0.8,1,1,quiz_passed,0.8403,2025-02-02:00:00
I00263,U0022,C377,inflacion,0.3,0,0,viewed,0.0327,2025-03-04:00:00
I00264,U0022,C208,ahorro,1.0,0,0,disliked,0.0789,2025-04-06:00:00
I00265,U0022,C227,fraude,0.7,0,0,viewed,0.1234,2025-05-08:00:00
I00266,U0022,C116,ahorro,1.0,1,1,quiz_passed,1.0,2025-06-10:00:00
I00267,U0022,C728,planificacion,0.8,1,1,quiz_passed,0.908,2025-07-12:00:00
I00268,U0022,C745,ahorro,1.0,1,1,quiz_passed,1.0,2025-08-14:00:00
I00269,U0022,C920,fraude,0.7,0,0,viewed,0.095,2025-09-16:00:00
I00270,U0022,C575,hipotecas,0.7,1,1,completed,0.7628,2025-10-18:00:00
I00271,U0022,C921,ahorro,1.0,1,1,quiz_passed,1.0,2025-11-20:00:00
I00272,U0022,C893,fraude,0.7,0,0,viewed,0.0905,2025-12-22:00:00
I00273,U0023,C775,planificacion,0.8,1,1,completed,0.8656,2025-01-00:00:00
I00274,U0023,C197,fraude,0.7,0,0,viewed,0.085,2025-02-02:00:00
I00275,U0023,C411,cuentas bancarias,1.0,1,1,completed,1.0,2025-03-04:00:00
I00276,U0023,C838,ahorro,1.0,1,1,quiz_passed,1.0,2025-04-06:00:00
I00277,U0023,C581,cuentas bancarias,1.0,0,0,viewed,0.1433,2025-05-08:00:00
I00278,U0023,C395,fraude,0.7,1,1,quiz_passed,0.7517,2025-06-10:00:00
I00279,U0023,C141,hipotecas,0.7,0,0,viewed,0.1033,2025-07-12:00:00
I00280,U0023,C207,planificacion,0.8,1,1,quiz_passed,0.8117,2025-08-14:00:00
I00281,U0023,C374,interes,0.8,1,1,quiz_passed,0.8885,2025-09-16:00:00
I00282,U0023,C116,planificacion,0.8,1,1,completed,0.9443,2025-10-18:00:00
I00283,U0023,C417,ahorro,1.0,0,0,viewed,0.0278,2025-11-20:00:00
I00284,U0023,C180,inversion,0.45,0,0,viewed,0.0958,2025-12-22:00:00
I00285,U0024,C636,planificacion,0.8,1,1,completed,0.9274,2025-01-00:00:00
I00286,U0024,C588,hipotecas,0.7,0,0,viewed,0.104,2025-02-02:00:00
I00287,U0024,C810,inflacion,0.3,0,0,viewed,0.1058,2025-03-04:00:00
I00288,U0024,C490,interes,0.8,0,0,viewed,0.071,2025-04-06:00:00
I00289,U0024,C787,hipotecas,0.7,1,1,completed,0.7446,2025-05-08:00:00
I00290,U0024,C322,inflacion,0.3,1,0,quiz_passed,0.4193,2025-06-10:00:00
I00291,U0024,C589,prestamos,0.1,0,0,viewed,0.0479,2025-07-12:00:00
I00292,U0024,C719,interes,0.8,1,1,completed,0.8547,2025-08-14:00:00
I00293,U0024,C282,fraude,0.7,1,1,quiz_passed,0.8044,2025-09-16:00:00
I00294,U0024,C615,interes,0.8,1,1,quiz_passed,0.9206,2025-10-18:00:00
I00295,U0024,C115,ahorro,1.0,0,0,viewed,0.0939,2025-11-20:00:00
I00296,U0024,C838,interes,0.8,1,1,completed,0.8626,2025-12-22:00:00
I00297,U0025,C240,diversificacion,1.0,0,0,viewed,0.1312,2025-01-00:00:00
I00298,U0025,C913,diversificacion,1.0,1,1,completed,1.0,2025-02-02:00:00
I00299,U0025,C344,ahorro,1.0,1,1,completed,1.0,2025-03-04:00:00
I00300,U0025,C476,inversion,1.0,1,1,quiz_passed,1.0,2025-04-06:00:00
I00301,U0025,C488,planificacion,0.8,0,0,viewed,0.0632,2025-05-08:00:00
I00302,U0025,C475,riesgo,1.0,1,1,quiz_passed,1.0,2025-06-10:00:00
I00303,U0025,C764,planificacion,0.8,1,1,quiz_passed,0.835,2025-07-12:00:00
I00304,U0025,C498,planificacion,0.8,1,1,completed,0.8068,2025-08-14:00:00
I00305,U0025,C904,fraude,0.7,1,1,completed,0.7327,2025-09-16:00:00
I00306,U0025,C539,interes,0.8,0,0,viewed,0.0626,2025-10-18:00:00
I00307,U0025,C325,cuentas bancarias,1.0,0,0,viewed,0.1356,2025-11-20:00:00
I00308,U0025,C759,inversion,1.0,1,1,completed,1.0,2025-12-22:00:00
I00309,U0026,C465,cuentas bancarias,1.0,0,0,viewed,0.1246,2025-01-00:00:00
