interaction_id,user_id,content_id,event,score,completion_rate,quiz_score,timestamp
I00035,U0112,C048,quiz_passed,0.836,1.0,0.684,2025-09-03T20:00:00
I00036,U0112,C064,completed,0.509,1.0,,2025-09-03T22:00:00
I00037,U0190,C025,viewed,0.24,0.059,,2025-09-04T00:00:00
I00038,U0166,C030,viewed,0.358,0.54,,2025-09-04T02:00:00
I00039,U0165,C063,viewed,0.534,0.63,0.342,2025-09-04T04:00:00
I00040,U0041,C047,completed,0.572,1.0,,2025-09-04T06:00:00
I00041,U0047,C054,quiz_passed,0.838,1.0,0.879,2025-09-04T08:00:00
I00042,U0184,C053,viewed,0.204,0.01,,2025-09-04T10:00:00
I00043,U0148,C054,quiz_passed,0.898,1.0,0.872,2025-09-04T12:00:00
I00044,U0117,C067,completed,0.503,1.0,,2025-09-04T14:00:00
I00045,U0015,C047,completed,0.541,1.0,,2025-09-04T16:00:00
I00046,U0149,C057,viewed,0.255,0.37,,2025-09-04T18:00:00
I00047,U0055,C029,viewed,0.114,0.08,,2025-09-04T20:00:00
I00048,U0050,C001,viewed,0.258,0.25,,2025-09-04T22:00:00
I00049,U0120,C061,viewed,0.444,0.33,0.418,2025-09-05T00:00:00
I00050,U0176,C015,quiz_passed,0.763,1.0,0.667,2025-09-05T02:00:00
I00051,U0123,C065,quiz_passed,0.799,1.0,0.822,2025-09-05T04:00:00
I00052,U0145,C073,viewed,0.531,0.44,0.452,2025-09-05T06:00:00
I00053,U0168,C061,disliked,0.137,0.13,,2025-09-05T08:00:00
I00054,U0104,C011,completed,0.567,1.0,,2025-09-05T10:00:00
I00055,U0202,C028,completed,0.541,1.0,,2025-09-05T12:00:00
I00056,U0030,C029,quiz_passed,0.73,1.0,0.631,2025-09-05T14:00:00
I00057,U0126,C003,completed,0.779,1.0,0.588,2025-09-05T16:00:00
I00058,U0128,C047,quiz_passed,0.891,1.0,0.887,2025-09-05T18:00:00
I00059,U0008,C050,viewed,0.508,0.57,0.322,2025-09-05T20:00:00
I00060,U0037,C028,quiz_passed,0.841,1.0,0.795,2025-09-05T22:00:00
I00061,U0198,C011,quiz_passed,0.803,1.0,0.709,2025-09-06T00:00:00
I00062,U0086,C003,viewed,0.45,0.46,0.419,2025-09-06T02:00:00
I00063,U0077,C051,viewed,0.118,0.1,,2025-09-06T04:00:00
I00064,U0103,C001,viewed,0.209,0.005,,2025-09-06T06:00:00
I00065,U0077,C028,quiz_passed,0.792,1.0,0.668,2025-09-06T08:00:00
I00066,U0097,C016,quiz_passed,0.779,1.0,0.661,2025-09-06T10:00:00
I00067,U0196,C051,completed,0.462,1.0,,2025-09-06T12:00:00
I00068,U0224,C058,completed,0.73,1.0,0.58,2025-09-06T14:00:00
I00069,U0111,C073,completed,0.553,1.0,,2025-09-06T16:00:00
I00070,U0108,C053,viewed,0.189,0.001,,2025-09-06T18:00:00
I00071,U0100,C076,viewed,0.232,0.016,,2025-09-06T20:00:00
I00072,U0198,C073,quiz_passed,0.834,1.0,0.729,2025-09-06T22:00:00
I00073,U0032,C051,quiz_passed,0.767,1.0,0.633,2025-09-07T00:00:00
I00074,U0191,C015,completed,0.47,1.0,,2025-09-07T02:00:00
I00075,U0161,C047,viewed,0.506,0.64,0.458,2025-09-07T04:00:00
I00076,U0227,C015,completed,0.786,1.0,0.668,2025-09-07T06:00:00
I00077,U0016,C076,viewed,0.246,0.047,,2025-09-07T08:00:00
I00078,U0043,C042,viewed,0.173,0.064,,2025-09-07T10:00:00
I00079,U0162,C064,completed,0.5,1.0,,2025-09-07T12:00:00
I00080,U0072,C002,viewed,0.241,0.083,,2025-09-07T14:00:00
I00081,U0086,C009,completed,0.75,1.0,0.65,2025-09-07T16:00:00
I00082,U0100,C015,viewed,0.315,0.2,0.31,2025-09-07T18:00:00
I00083,U0151,C017,completed,0.579,1.0,,2025-09-07T20:00:00
I00084,U0038,C028,quiz_passed,0.878,1.0,0.88,2025-09-07T22:00:00
I00085,U0205,C018,viewed,0.36,0.22,0.317,2025-09-08T00:00:00
I00086,U0238,C042,completed,0.553,1.0,,2025-09-08T02:00:00
I00087,U0060,C013,viewed,0.325,0.22,0.378,2025-09-08T04:00:00
I00088,U0024,C006,quiz_passed,0.715,1.0,0.623,2025-09-08T06:00:00
I00089,U0127,C002,quiz_passed,0.852,1.0,0.825,2025-09-08T08:00:00
I00090,U0006,C028,completed,0.751,1.0,0.644,2025-09-08T10:00:00
I00091,U0025,C003,disliked,0.28,0.18,0.315,2025-09-08T12:00:00
I00092,U0022,C042,completed,0.567,1.0,,2025-09-08T14:00:00
I00093,U0221,C001,disliked,0.247,0.18,,2025-09-08T16:00:00
I00094,U0172,C048,completed,0.481,1.0,,2025-09-08T18:00:00
I00095,U0242,C003,viewed,0.381,0.59,,2025-09-08T20:00:00
I00096,U0166,C057,completed,0.774,1.0,0.561,2025-09-08T22:00:00
I00097,U0151,C030,quiz_passed,0.813,1.0,0.831,2025-09-09T00:00:00
I00098,U0062,C076,viewed,0.278,0.047,,2025-09-09T02:00:00
I00099,U0234,C010,completed,0.567,1.0,,2025-09-09T04:00:00
I00100,U0036,C043,viewed,0.285,0.039,,2025-09-09T06:00:00
I00101,U0006,C061,viewed,0.377,0.33,0.396,2025-09-09T08:00:00
I00102,U0015,C025,quiz_passed,0.751,1.0,0.721,2025-09-09T10:00:00
I00103,U0147,C025,completed,0.474,1.0,,2025-09-09T12:00:00
I00104,U0132,C053,viewed,0.234,0.021,,2025-09-09T14:00:00
I00105,U0123,C073,quiz_passed,0.463,0.3,0.636,2025-09-09T16:00:00
I00106,U0100,C067,viewed,0.111,0.073,,2025-09-09T18:00:00
I00107,U0076,C030,completed,0.877,1.0,0.759,2025-09-09T20:00:00
I00108,U0074,C057,quiz_passed,0.862,1.0,0.773,2025-09-09T22:00:00
I00109,U0183,C054,viewed,0.446,0.51,0.415,2025-09-10T00:00:00
I00110,U0172,C029,completed,0.509,1.0,,2025-09-10T02:00:00
I00111,U0185,C017,completed,0.471,1.0,,2025-09-10T04:00:00
I00112,U0105,C003,completed,0.504,1.0,,2025-09-10T06:00:00
I00113,U0042,C067,completed,0.469,1.0,,2025-09-10T08:00:00
I00114,U0092,C002,completed,0.733,1.0,0.665,2025-09-10T10:00:00
I00115,U0224,C048,quiz_passed,0.743,1.0,0.682,2025-09-10T12:00:00
I00116,U0159,C048,quiz_passed,0.764,1.0,0.702,2025-09-10T14:00:00
I00117,U0005,C011,quiz_passed,0.783,1.0,0.755,2025-09-10T16:00:00
I00118,U0070,C053,quiz_passed,0.817,1.0,0.714,2025-09-10T18:00:00
I00119,U0221,C073,quiz_passed,0.825,1.0,0.705,2025-09-10T20:00:00
I00120,U0153,C063,viewed,0.458,0.54,0.355,2025-09-10T22:00:00
I00121,U0112,C029,quiz_passed,0.725,1.0,0.618,2025-09-11T00:00:00
I00122,U0175,C006,quiz_passed,0.759,1.0,0.617,2025-09-11T02:00:00
I00123,U0130,C076,quiz_passed,0.902,1.0,0.811,2025-09-11T04:00:00
I00124,U0250,C047,quiz_passed,0.882,1.0,0.777,2025-09-11T06:00:00
I00125,U0160,C051,completed,0.73,1.0,0.57,2025-09-11T08:00:00
I00126,U0043,C065,completed,0.764,1.0,0.599,2025-09-11T10:00:00
I00127,U0038,C030,completed,0.891,1.0,0.856,2025-09-11T12:00:00
I00128,U0074,C002,completed,0.515,1.0,,2025-09-11T14:00:00
I00129,U0141,C011,quiz_passed,0.822,1.0,0.613,2025-09-11T16:00:00
I00130,U0102,C054,quiz_passed,0.835,1.0,0.64,2025-09-11T18:00:00
I00131,U0076,C028,completed,0.522,1.0,,2025-09-11T20:00:00
I00132,U0214,C071,completed,0.479,1.0,,2025-09-11T22:00:00
I00133,U0087,C063,completed,0.471,1.0,,2025-09-12T00:00:00
I00134,U0220,C076,completed,0.475,1.0,,2025-09-12T02:00:00
I00135,U0223,C041,completed,0.478,1.0,,2025-09-12T04:00:00
I00136,U0218,C029,completed,0.796,1.0,0.752,2025-09-12T06:00:00
I00137,U0101,C065,completed,0.506,1.0,,2025-09-12T08:00:00
I00138,U0077,C001,completed,0.758,1.0,0.648,2025-09-12T10:00:00
I00139,U0216,C048,viewed,0.516,0.62,0.444,2025-09-12T12:00:00
I00140,U0230,C067,viewed,0.255,0.054,,2025-09-12T14:00:00
I00141,U0112,C047,quiz_passed,0.819,1.0,0.612,2025-09-12T16:00:00
I00142,U0174,C008,completed,0.479,1.0,,2025-09-12T18:00:00
I00143,U0049,C050,quiz_passed,0.882,1.0,0.811,2025-09-12T20:00:00
I00144,U0044,C048,completed,0.495,1.0,,2025-09-12T22:00:00
I00145,U0088,C029,viewed,0.278,0.042,,2025-09-13T00:00:00
I00146,U0041,C067,viewed,0.316,0.29,0.318,2025-09-13T02:00:00
I00147,U0146,C035,quiz_passed,0.78,1.0,0.798,2025-09-13T04:00:00
I00148,U0078,C018,completed,0.528,1.0,,2025-09-13T06:00:00
I00149,U0224,C047,quiz_passed,0.803,1.0,0.629,2025-09-13T08:00:00
I00150,U0028,C016,completed,0.841,1.0,0.758,2025-09-13T10:00:00
I00151,U0176,C025,completed,0.708,1.0,0.589,2025-09-13T12:00:00
I00152,U0232,C030,quiz_passed,0.832,1.0,0.701,2025-09-13T14:00:00
I00153,U0012,C073,completed,0.498,1.0,,2025-09-13T16:00:00
I00154,U0231,C003,completed,0.468,1.0,,2025-09-13T18:00:00
I00155,U0174,C011,completed,0.764,1.0,0.687,2025-09-13T20:00:00
I00156,U0045,C016,viewed,0.478,0.28,0.504,2025-09-13T22:00:00
I00157,U0086,C076,viewed,0.331,0.25,0.342,2025-09-14T00:00:00
I00158,U0061,C071,quiz_passed,0.818,1.0,0.732,2025-09-14T02:00:00
I00159,U0202,C015,disliked,0.149,0.11,,2025-09-14T04:00:00
I00160,U0246,C049,completed,0.573,1.0,,2025-09-14T06:00:00
I00161,U0067,C003,quiz_passed,0.799,1.0,0.623,2025-09-14T08:00:00
I00162,U0174,C018,viewed,0.365,0.27,0.4,2025-09-14T10:00:00
I00163,U0100,C028,completed,0.468,1.0,,2025-09-14T12:00:00
I00164,U0234,C044,quiz_passed,0.79,1.0,0.61,2025-09-14T14:00:00
I00165,U0073,C072,completed,0.572,1.0,,2025-09-14T16:00:00
I00166,U0046,C064,completed,0.544,1.0,,2025-09-14T18:00:00
I00167,U0064,C048,quiz_passed,0.822,1.0,0.84,2025-09-14T20:00:00
I00168,U0174,C064,quiz_passed,0.739,1.0,0.604,2025-09-14T22:00:00
I00169,U0164,C047,completed,0.54,1.0,,2025-09-15T00:00:00
I00170,U0148,C058,completed,0.86,1.0,0.819,2025-09-15T02:00:00
I00171,U0013,C074,completed,0.782,1.0,0.532,2025-09-15T04:00:00
I00172,U0107,C017,completed,0.806,1.0,0.737,2025-09-15T06:00:00
I00173,U0239,C065,viewed,0.261,0.44,,2025-09-15T08:00:00
I00174,U0173,C053,viewed,0.126,0.076,,2025-09-15T10:00:00
I00175,U0012,C043,completed,0.488,1.0,,2025-09-15T12:00:00
I00176,U0067,C013,completed,0.654,1.0,0.445,2025-09-15T14:00:00
I00177,U0181,C015,quiz_passed,0.809,1.0,0.663,2025-09-15T16:00:00
I00178,U0035,C047,completed,0.799,1.0,0.797,2025-09-15T18:00:00
I00179,U0171,C011,viewed,0.268,0.041,,2025-09-15T20:00:00
I00180,U0053,C053,completed,0.711,1.0,0.569,2025-09-15T22:00:00
I00181,U0180,C071,viewed,0.132,0.045,,2025-09-16T00:00:00
I00182,U0146,C069,completed,0.47,1.0,,2025-09-16T02:00:00
I00183,U0184,C051,completed,0.777,1.0,0.697,2025-09-16T04:00:00
I00184,U0092,C044,viewed,0.35,0.46,0.223,2025-09-16T06:00:00
I00185,U0008,C045,completed,0.791,1.0,0.559,2025-09-16T08:00:00
I00186,U0175,C006,completed,0.743,1.0,0.612,2025-09-16T10:00:00
I00187,U0095,C002,viewed,0.268,0.025,,2025-09-16T12:00:00
I00188,U0015,C067,completed,0.573,1.0,,2025-09-16T14:00:00
I00189,U0127,C013,quiz_passed,0.787,1.0,0.775,2025-09-16T16:00:00
I00190,U0164,C054,completed,0.46,1.0,,2025-09-16T18:00:00
I00191,U0216,C042,completed,0.773,1.0,0.57,2025-09-16T20:00:00
I00192,U0228,C029,viewed,0.498,0.63,0.332,2025-09-16T22:00:00
I00193,U0145,C064,quiz_passed,0.839,1.0,0.76,2025-09-17T00:00:00
I00194,U0040,C025,viewed,0.224,0.081,,2025-09-17T02:00:00
I00195,U0016,C061,quiz_passed,0.726,1.0,0.625,2025-09-17T04:00:00
I00196,U0222,C065,viewed,0.106,0.019,,2025-09-17T06:00:00
I00197,U0174,C009,completed,0.503,1.0,,2025-09-17T08:00:00
I00198,U0062,C076,quiz_passed,0.839,1.0,0.689,2025-09-17T10:00:00
I00199,U0065,C002,quiz_passed,0.836,1.0,0.73,2025-09-17T12:00:00
I00200,U0189,C030,completed,0.792,1.0,0.571,2025-09-17T14:00:00
I00201,U0141,C047,quiz_passed,0.823,1.0,0.702,2025-09-17T16:00:00
I00202,U0140,C065,viewed,0.213,0.077,,2025-09-17T18:00:00
I00203,U0036,C015,completed,0.575,1.0,,2025-09-17T20:00:00
I00204,U0118,C049,viewed,0.515,0.43,0.431,2025-09-17T22:00:00
I00205,U0223,C036,viewed,0.376,0.52,0.199,2025-09-18T00:00:00
I00206,U0132,C071,viewed,0.244,0.004,,2025-09-18T02:00:00
I00207,U0155,C006,completed,0.489,1.0,,2025-09-18T04:00:00
I00208,U0091,C016,completed,0.706,1.0,0.581,2025-09-18T06:00:00
I00209,U0205,C065,viewed,0.448,0.47,0.426,2025-09-18T08:00:00
I00210,U0177,C025,quiz_passed,0.745,1.0,0.702,2025-09-18T10:00:00
I00211,U0215,C073,quiz_passed,0.812,1.0,0.626,2025-09-18T12:00:00
I00212,U0101,C002,viewed,0.203,0.036,,2025-09-18T14:00:00
I00213,U0136,C029,quiz_passed,0.817,1.0,0.719,2025-09-18T16:00:00
I00214,U0100,C005,completed,0.745,1.0,0.449,2025-09-18T18:00:00
I00215,U0156,C050,quiz_passed,0.77,1.0,0.604,2025-09-18T20:00:00
I00216,U0136,C073,viewed,0.549,0.63,0.464,2025-09-18T22:00:00
I00217,U0147,C025,completed,0.542,1.0,,2025-09-19T00:00:00
I00218,U0078,C053,disliked,0.168,0.17,,2025-09-19T02:00:00
I00219,U0181,C016,quiz_passed,0.749,1.0,0.618,2025-09-19T04:00:00
I00220,U0035,C042,completed,0.572,1.0,,2025-09-19T06:00:00
I00221,U0151,C050,completed,0.501,1.0,,2025-09-19T08:00:00
I00222,U0236,C016,viewed,0.217,0.03,,2025-09-19T10:00:00
I00223,U0091,C045,completed,0.736,1.0,0.545,2025-09-19T12:00:00
I00224,U0231,C047,viewed,0.209,0.076,,2025-09-19T14:00:00
I00225,U0161,C071,completed,0.564,1.0,,2025-09-19T16:00:00
I00226,U0166,C018,completed,0.787,1.0,0.572,2025-09-19T18:00:00
I00227,U0148,C073,completed,0.571,1.0,,2025-09-19T20:00:00
I00228,U0055,C015,viewed,0.105,0.049,,2025-09-19T22:00:00
I00229,U0157,C001,completed,0.5,1.0,,2025-09-20T00:00:00
I00230,U0127,C045,quiz_passed,0.78,1.0,0.706,2025-09-20T02:00:00
I00231,U0107,C061,completed,0.76,1.0,0.722,2025-09-20T04:00:00
I00232,U0209,C043,completed,0.529,1.0,,2025-09-20T06:00:00
I00233,U0059,C002,completed,0.847,1.0,0.674,2025-09-20T08:00:00
I00234,U0117,C078,quiz_passed,0.838,1.0,0.703,2025-09-20T10:00:00
I00235,U0093,C011,viewed,0.607,0.66,0.544,2025-09-20T12:00:00
I00236,U0053,C067,completed,0.781,1.0,0.582,2025-09-20T14:00:00
I00237,U0236,C071,completed,0.486,1.0,,2025-09-20T16:00:00
I00238,U0234,C016,completed,0.789,1.0,0.803,2025-09-20T18:00:00
I00239,U0166,C066,completed,0.505,1.0,,2025-09-20T20:00:00
I00240,U0169,C043,quiz_passed,0.853,1.0,0.754,2025-09-20T22:00:00
I00241,U0165,C071,viewed,0.2,0.098,,2025-09-21T00:00:00
I00242,U0203,C072,viewed,0.274,0.027,,2025-09-21T02:00:00
I00243,U0193,C064,quiz_passed,0.806,1.0,0.682,2025-09-21T04:00:00
I00244,U0245,C018,completed,0.839,1.0,0.688,2025-09-21T06:00:00
I00245,U0047,C050,completed,0.826,1.0,0.875,2025-09-21T08:00:00
I00246,U0078,C076,quiz_passed,0.835,1.0,0.661,2025-09-21T10:00:00
I00247,U0184,C025,completed,0.462,1.0,,2025-09-21T12:00:00
I00248,U0035,C030,completed,0.498,1.0,,2025-09-21T14:00:00
I00249,U0225,C057,viewed,0.294,0.053,,2025-09-21T16:00:00
I00250,U0001,C002,viewed,0.39,0.35,0.325,2025-09-21T18:00:00
I00251,U0236,C016,viewed,0.271,0.097,,2025-09-21T20:00:00
I00252,U0058,C015,completed,0.751,1.0,0.575,2025-09-21T22:00:00
I00253,U0105,C035,viewed,0.153,0.033,,2025-09-22T00:00:00
I00254,U0011,C042,completed,0.546,1.0,,2025-09-22T02:00:00
I00255,U0103,C051,completed,0.556,1.0,,2025-09-22T04:00:00
I00256,U0230,C047,disliked,0.318,0.18,0.393,2025-09-22T06:00:00
I00257,U0051,C016,quiz_passed,0.856,1.0,0.784,2025-09-22T08:00:00
I00258,U0114,C002,completed,0.521,1.0,,2025-09-22T10:00:00
I00259,U0152,C048,viewed,0.564,0.61,0.357,2025-09-22T12:00:00
I00260,U0069,C064,quiz_passed,0.797,1.0,0.762,2025-09-22T14:00:00
I00261,U0233,C071,completed,0.468,1.0,,2025-09-22T16:00:00
I00262,U0194,C066,disliked,0.183,0.17,,2025-09-22T18:00:00
I00263,U0164,C025,viewed,0.203,0.23,,2025-09-22T20:00:00
I00264,U0105,C075,completed,0.728,1.0,0.535,2025-09-22T22:00:00
I00265,U0023,C048,completed,0.481,1.0,,2025-09-23T00:00:00
I00266,U0133,C018,completed,0.74,1.0,0.599,2025-09-23T02:00:00
I00267,U0098,C003,quiz_passed,0.878,1.0,0.771,2025-09-23T04:00:00
I00268,U0066,C042,quiz_passed,0.873,1.0,0.795,2025-09-23T06:00:00
I00269,U0159,C048,completed,0.576,1.0,,2025-09-23T08:00:00
I00270,U0111,C029,completed,0.483,1.0,,2025-09-23T10:00:00
I00271,U0249,C011,quiz_passed,0.772,1.0,0.663,2025-09-23T12:00:00
I00272,U0107,C075,viewed,0.251,0.003,,2025-09-23T14:00:00
I00273,U0152,C003,viewed,0.24,0.044,,2025-09-23T16:00:00
I00274,U0122,C073,quiz_passed,0.75,1.0,0.666,2025-09-23T18:00:00
I00275,U0139,C030,quiz_passed,0.784,1.0,0.786,2025-09-23T20:00:00
I00276,U0210,C064,completed,0.484,1.0,,2025-09-23T22:00:00
I00277,U0086,C005,completed,0.558,1.0,,2025-09-24T00:00:00
I00278,U0224,C050,disliked,0.276,0.13,0.383,2025-09-24T02:00:00
I00279,U0099,C062,quiz_passed,0.856,1.0,0.73,2025-09-24T04:00:00
I00280,U0206,C042,completed,0.572,1.0,,2025-09-24T06:00:00
I00281,U0169,C013,disliked,0.297,0.14,0.438,2025-09-24T08:00:00
I00282,U0081,C047,disliked,0.228,0.02,0.339,2025-09-24T10:00:00
I00283,U0054,C015,viewed,0.409,0.31,0.432,2025-09-24T12:00:00
I00284,U0164,C016,viewed,0.288,0.35,,2025-09-24T14:00:00
I00285,U0043,C016,completed,0.477,1.0,,2025-09-24T16:00:00
I00286,U0235,C002,quiz_passed,0.888,1.0,0.82,2025-09-24T18:00:00
I00287,U0181,C072,completed,0.764,1.0,0.672,2025-09-24T20:00:00
I00288,U0060,C003,quiz_passed,0.782,1.0,0.74,2025-09-24T22:00:00
I00289,U0243,C073,viewed,0.178,0.003,,2025-09-25T00:00:00
I00290,U0098,C001,quiz_passed,0.791,1.0,0.727,2025-09-25T02:00:00
I00291,U0103,C053,viewed,0.124,0.092,,2025-09-25T04:00:00
I00292,U0168,C051,completed,0.739,1.0,0.67,2025-09-25T06:00:00
I00293,U0125,C002,completed,0.79,1.0,0.594,2025-09-25T08:00:00
I00294,U0196,C075,completed,0.501,1.0,,2025-09-25T10:00:00
I00295,U0242,C061,quiz_passed,0.727,1.0,0.634,2025-09-25T12:00:00
I00296,U0213,C067,completed,0.531,1.0,,2025-09-25T14:00:00
I00297,U0119,C042,completed,0.781,1.0,0.779,2025-09-25T16:00:00
I00298,U0187,C017,viewed,0.21,0.23,,2025-09-25T18:00:00
I00299,U0039,C011,quiz_passed,0.784,1.0,0.735,2025-09-25T20:00:00
I00300,U0146,C009,quiz_passed,0.778,1.0,0.724,2025-09-25T22:00:00
I00301,U0224,C054,completed,0.544,1.0,,2025-09-26T00:00:00
I00302,U0054,C065,completed,0.746,1.0,0.598,2025-09-26T02:00:00
I00303,U0133,C016,completed,0.791,1.0,0.596,2025-09-26T04:00:00
I00304,U0132,C001,quiz_passed,0.823,1.0,0.701,2025-09-26T06:00:00
I00305,U0209,C046,completed,0.749,1.0,0.443,2025-09-26T08:00:00
I00306,U0202,C010,viewed,0.354,0.48,0.213,2025-09-26T10:00:00
I00307,U0051,C025,completed,0.465,1.0,,2025-09-26T12:00:00
I00308,U0135,C016,completed,0.561,1.0,,2025-09-26T14:00:00
I00309,U0202,C054,completed,0.789,1.0,0.673,2025-09-26T16:00:00
I00310,U0067,C044,viewed,0.281,0.074,,2025-09-26T18:00:00
I00311,U0214,C044,completed,0.522,1.0,,2025-09-26T20:00:00
I00312,U0192,C029,completed,0.49,1.0,,2025-09-26T22:00:00
I00313,U0215,C076,completed,0.842,1.0,0.687,2025-09-27T00:00:00
I00314,U0013,C047,completed,0.509,1.0,,2025-09-27T02:00:00
I00315,U0023,C002,quiz_passed,0.817,1.0,0.803,2025-09-27T04:00:00
I00316,U0155,C011,quiz_passed,0.83,1.0,0.861,2025-09-27T06:00:00
I00317,U0091,C074,completed,0.792,1.0,0.564,2025-09-27T08:00:00
I00318,U0105,C071,completed,0.482,1.0,,2025-09-27T10:00:00
I00319,U0070,C006,completed,0.575,1.0,,2025-09-27T12:00:00
I00320,U0079,C043,viewed,0.201,0.099,,2025-09-27T14:00:00
I00321,U0049,C075,viewed,0.178,0.001,,2025-09-27T16:00:00
I00322,U0219,C050,viewed,0.191,0.081,,2025-09-27T18:00:00
I00323,U0065,C001,completed,0.476,1.0,,2025-09-27T20:00:00
I00324,U0193,C048,completed,0.503,1.0,,2025-09-27T22:00:00
I00325,U0170,C018,disliked,0.319,0.04,0.4,2025-09-28T00:00:00
I00326,U0005,C016,completed,0.567,1.0,,2025-09-28T02:00:00
I00327,U0187,C073,completed,0.493,1.0,,2025-09-28T04:00:00
I00328,U0049,C006,completed,0.494,1.0,,2025-09-28T06:00:00
I00329,U0196,C067,completed,0.784,1.0,0.619,2025-09-28T08:00:00
I00330,U0127,C046,completed,0.794,1.0,0.588,2025-09-28T10:00:00
I00331,U0204,C050,quiz_passed,0.826,1.0,0.71,2025-09-28T12:00:00
I00332,U0233,C025,viewed,0.575,0.67,0.335,2025-09-28T14:00:00
I00333,U0051,C003,viewed,0.181,0.068,,2025-09-28T16:00:00
I00334,U0093,C054,completed,0.514,1.0,,2025-09-28T18:00:00
I00335,U0215,C075,completed,0.722,1.0,0.457,2025-09-28T20:00:00
I00336,U0218,C015,quiz_passed,0.857,1.0,0.804,2025-09-28T22:00:00
I00337,U0067,C005,viewed,0.366,0.21,0.261,2025-09-29T00:00:00
I00338,U0227,C044,viewed,0.327,0.29,0.286,2025-09-29T02:00:00
I00339,U0166,C066,completed,0.555,1.0,,2025-09-29T04:00:00
I00340,U0215,C001,completed,0.524,1.0,,2025-09-29T06:00:00
I00341,U0134,C065,completed,0.468,1.0,,2025-09-29T08:00:00
I00342,U0001,C003,completed,0.813,1.0,0.647,2025-09-29T10:00:00
I00343,U0215,C002,completed,0.697,1.0,0.583,2025-09-29T12:00:00
I00344,U0249,C009,completed,0.533,1.0,,2025-09-29T14:00:00
I00345,U0071,C043,completed,0.497,1.0,,2025-09-29T16:00:00
I00346,U0093,C073,viewed,0.26,0.036,,2025-09-29T18:00:00
I00347,U0180,C054,completed,0.514,1.0,,2025-09-29T20:00:00
I00348,U0129,C005,disliked,0.214,0.03,0.288,2025-09-29T22:00:00
I00349,U0162,C009,viewed,0.206,0.023,,2025-09-30T00:00:00
I00350,U0143,C043,completed,0.769,1.0,0.765,2025-09-30T02:00:00
I00351,U0130,C003,quiz_passed,0.86,1.0,0.714,2025-09-30T04:00:00
I00352,U0105,C045,viewed,0.299,0.08,,2025-09-30T06:00:00
I00353,U0247,C042,completed,0.822,1.0,0.642,2025-09-30T08:00:00
I00354,U0159,C073,completed,0.815,1.0,0.733,2025-09-30T10:00:00
I00355,U0113,C065,completed,0.561,1.0,,2025-09-30T12:00:00
I00356,U0076,C065,viewed,0.284,0.072,,2025-09-30T14:00:00
I00357,U0185,C017,completed,0.525,1.0,,2025-09-30T16:00:00
I00358,U0143,C046,viewed,0.267,0.21,0.202,2025-09-30T18:00:00
